#metadataBlock	name	dataverseAlias	displayName													
	nfdi4cat		NFDI4Cat Metadata Schema													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	simulation	Simulation			none	38		TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	experiment	nfdi4cat	
	simulation_name	Simulation Name			text	39		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	simulation	nfdi4cat	
	simulation_timestamp	Simulation Time			text	40		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	simulation	nfdi4cat	
	simulation_input	Simulation Input			text	41		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	simulation	nfdi4cat	
	simulation_software_environment	Software Environment			none	42		TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	simulation	nfdi4cat	
	simulation_software_name	Software Name			text	43		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	simulation_software_environment	nfdi4cat	
	simulation_software_version	Software Version			text	44		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	simulation_software_environment	nfdi4cat	
	chemical_substance	Chemical Substance			none	45		TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	experiment	nfdi4cat	
	chemical_substance_name	Chemical Substance Name			text	46		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_type	Chemical Substnace Type			text	47		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_local_id	Local ID			text	48		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_synthesis_details	Synthesis Details			none	49		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_synthesis_method	Synthesis Method			text	50		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_synthesis_details	nfdi4cat	
	chemical_substance_synthesis_date	Synthesis Date			text	51		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_synthesis_details	nfdi4cat	
	chemical_substance_synthesized_by	Synthesized By			text	52		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_synthesis_details	nfdi4cat	
	chemical_substance_synthesis_recipe	Synthesis Recipe			textbox	53		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_synthesis_details	nfdi4cat	
	chemical_substance_synthesis_precursor	Precursor			text	54		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_synthesis_details	nfdi4cat	
	chemical_substance_purchase_details	Purchase Details			none	55		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_purchased_by	Purchased By			text	56		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_purchase_details	nfdi4cat	
	chemical_substance_purchase_date	Purchase Date			text	57		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_purchase_details	nfdi4cat	
	chemical_substance_purchase_batch_number	Batch Number			text	58		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chemical_substance_purchase_details	nfdi4cat	
	chemical_substance_identifier	Identifier			none	59		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	chemical_substance	nfdi4cat	
	chemical_substance_CAS_number	CAS Number			text	60		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	chemical_substance_identifier	nfdi4cat	
	chemical_substance_pubchem_id	PubChem ID			text	61		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	chemical_substance_identifier	nfdi4cat	
